ActivityID,certification_name,slots_offered,volunteers_signed_up
913,Trainee,2,0
914,Staff,1,0
914,Trail Guide,3,2
914,Trainee,2,1
915,Staff,1,0
915,Trail Guide,3,2
915,Trainee,2,0
917,Staff,1,0
917,Trail Guide,6,2
917,Trainee,2,0
918,Staff,1,0
918,Trail Guide,3,2
918,Trainee,2,0
919,Staff,1,0
919,Trail Guide,3,3
919,Trainee,2,0
920,Staff,1,0
920,Trail Guide,3,3
920,Trainee,2,0
921,Staff,1,0
921,Trail Guide,4,4
921,Trainee,2,0
922,Staff,1,0
922,Trail Guide,4,4
922,Trainee,2,0
923,Staff,1,0
923,Trail Guide,4,3
923,Trainee,2,2
924,Staff,1,0
924,Trail Guide,3,3
924,Trainee,2,0
925,Staff,1,0
925,Trail Guide,3,2
925,Trainee,2,0
926,Staff,1,0
926,Trail Guide,3,2
926,Trainee,2,0
931,Staff,1,0
931,Trail Guide,4,4
931,Trainee,2,0
932,Staff,1,0
932,Trail Guide,3,1
932,Trainee,2,0
933,Staff,1,0
933,Trail Guide,3,2
933,Trainee,2,0
934,Staff,1,0
934,Trail Guide,3,1
934,Trainee,2,0
935,Staff,1,0
935,Trail Guide,7,7
935,Trainee,2,0
936,Staff,1,0
936,Trail Guide,3,1
936,Trainee,2,0
937,Staff,1,0
937,Trail Guide,3,2
937,Trainee,2,0
938,Staff,1,0
938,Trail Guide,3,2
938,Trainee,2,0
939,Staff,1,0
939,Trail Guide,3,3
939,Trainee,2,0
940,Staff,1,0
940,Trail Guide,3,3
940,Trainee,2,0
941,Staff,1,0
941,Trail Guide,5,4
941,Trainee,2,0
943,Staff,1,0
943,Trail Guide,5,5
943,Trainee,2,0
944,Staff,1,0
944,Trail Guide,5,2
944,Trainee,2,0
945,Staff,1,0
945,Trail Guide,5,4
945,Trainee,2,1
946,Staff,1,0
946,Trail Guide,5,4
946,Trainee,2,0
947,Staff,1,0
947,Trail Guide,8,8
947,Trainee,2,1
948,Staff,1,0
948,Trail Guide,5,5
948,Trainee,2,0
949,Staff,1,0
949,Trail Guide,7,5
949,Trainee,2,0
950,Staff,1,0
950,Trail Guide,5,4
950,Trainee,2,0
952,Staff,1,0
952,Trail Guide,5,3
952,Trainee,2,0
953,Staff,1,0
953,Trail Guide,5,3
953,Trainee,2,1
954,Staff,1,0
954,Trail Guide,5,3
954,Trainee,2,0
955,Staff,1,0
955,Trail Guide,5,5
955,Trainee,2,0
956,Staff,1,0
956,Trail Guide,5,5
956,Trainee,2,0
957,Staff,1,0
957,Trail Guide,5,4
957,Trainee,2,2
958,Staff,1,0
958,Trail Guide,5,5
958,Trainee,2,1
959,Staff,1,0
959,Trail Guide,5,3
959,Trainee,2,0
960,Staff,1,0
960,Trail Guide,6,6
960,Trainee,2,0
961,Staff,1,0
961,Trail Guide,7,7
961,Trainee,2,0
962,Staff,1,0
962,Trail Guide,7,5
962,Trainee,2,0
963,Staff,1,0
963,Trail Guide,5,2
963,Trainee,2,0
964,Staff,1,0
964,Trail Guide,5,3
964,Trainee,2,0
965,Staff,1,0
965,Trail Guide,5,3
965,Trainee,2,0
966,Staff,1,0
966,Trail Guide,5,3
966,Trainee,2,0
985,Staff,1,0
985,Trail Guide,3,1
985,Trainee,2,0
986,Staff,1,1
986,Trail Guide,6,4
986,Trainee,2,1
987,Staff,1,0
987,Trail Guide,3,2
987,Trainee,2,0
988,Staff,1,0
988,Trail Guide,3,2
988,Trainee,2,0
989,Staff,1,0
989,Trail Guide,3,3
989,Trainee,2,0
990,Land Steward,3,3
990,Staff,1,0
990,Trail Guide,3,0
990,Trainee,3,0
991,Land Steward,3,0
991,Staff,1,0
991,Trail Guide,3,0
991,Trainee,3,0
992,Land Steward,3,2
992,Staff,1,0
992,Trail Guide,3,0
992,Trainee,3,0
993,Staff,1,0
993,Trail Guide,3,1
993,Trainee,2,0
994,Land Steward,3,1
994,Staff,1,0
994,Trail Guide,3,0
994,Trainee,3,0
995,Staff,1,0
995,Trail Guide,3,3
995,Trainee,2,2
996,Staff,1,0
996,Trail Guide,3,3
996,Trainee,2,0
997,Staff,1,0
997,Trail Guide,4,4
997,Trainee,2,0
998,Staff,1,0
998,Trail Guide,3,1
998,Trainee,2,0
999,Staff,1,0
999,Trail Guide,3,3
999,Trainee,2,0
1000,Staff,1,0
1000,Trail Guide,3,3
1000,Trainee,2,0
1001,Staff,1,0
1001,Trail Guide,3,2
1001,Trainee,2,0
1002,Staff,1,0
1002,Trail Guide,3,3
1002,Trainee,2,1
1003,Staff,1,0
1003,Trail Guide,3,3
1003,Trainee,2,0
1067,Staff,1,0
1067,Trail Guide,3,3
1067,Trainee,2,0
1068,Staff,1,0
1068,Trail Guide,3,3
1068,Trainee,2,0
1069,Staff,1,0
1069,Trail Guide,3,2
1069,Trainee,2,0
1071,Staff,1,0
1071,Trail Guide,3,3
1071,Trainee,2,0
1072,Staff,1,0
1072,Trail Guide,5,5
1073,Staff,1,0
1073,Trail Guide,3,3
1073,Trainee,2,0
1074,Staff,1,0
1074,Trail Guide,3,3
1074,Trainee,2,0
1075,Staff,1,0
1075,Trail Guide,3,3
1075,Trainee,2,0
1078,Staff,1,0
1078,Trail Guide,3,1
1078,Trainee,2,0
1079,Staff,1,0
1079,Trail Guide,3,1
1079,Trainee,2,0
1080,Staff,1,0
1080,Trail Guide,3,2
1080,Trainee,2,0
1081,Land Steward,3,3
1081,Staff,1,0
1081,Trail Guide,3,0
1081,Trainee,3,0
1082,Land Steward,3,0
1082,Staff,1,0
1082,Trail Guide,3,0
1082,Trainee,3,0
1084,Staff,1,0
1084,Trail Guide,3,1
1084,Trainee,2,0
1539,Staff,1,0
1539,Trail Guide,3,2
1539,Trainee,2,0
1540,Docent,1,0
1540,Staff,1,0
1540,Trail Guide,3,3
1540,Trainee,2,1
1851,NULL,3,0
1851,Staff,5,4
1851,Trail Guide,3,2
1851,Trainee,15,6
1860,Trail Guide,8,7
1860,Trainee,2,1
1861,Trail Guide,8,5
1861,Trainee,2,0
1862,Trail Guide,8,7
1862,Trainee,2,0
1863,Trail Guide,8,7
1863,Trainee,2,0
1864,Trail Guide,8,6
1864,Trainee,2,0
1865,Trail Guide,8,4
1865,Trainee,2,0
1866,Trail Guide,8,5
1866,Trainee,2,0
1867,NULL,3,0
1867,NULL,3,0
1867,Trail Guide,8,6
1867,Trainee,2,0
1872,Staff,1,0
1872,Trail Guide,6,3
1872,Trainee,15,6
1874,Staff,4,3
1874,Trail Guide,10,1
1874,Trainee,20,3
1876,Staff,1,0
1876,Trail Guide,3,3
1876,Trainee,2,0
1877,Staff,1,0
1877,Trail Guide,3,0
1877,Trainee,2,0
2370,Docent,15,14
2370,Lead Land Steward,5,1
2370,Staff,10,1
2370,Trainee,1,0
2372,Docent,15,9
2372,Lead Land Steward,5,0
2372,Staff,10,10
2372,Trail Boss,3,0
2372,Trainee,1,0
2465,Land Steward,3,1
2465,Trail Guide,3,1
2465,Trainee,3,0
2466,Land Steward,3,0
2466,Trail Guide,3,0
2466,Trainee,3,0
2467,Land Steward,3,0
2467,Trail Guide,3,0
2467,Trainee,3,0
2468,Land Steward,3,1
2468,Trail Guide,3,1
2468,Trainee,3,0
2469,Land Steward,3,0
2469,Trail Guide,3,0
2469,Trainee,3,0
2470,Land Steward,3,0
2470,Trail Guide,3,0
2470,Trainee,3,0
2471,Land Steward,3,1
2471,Trail Guide,3,0
2471,Trainee,3,0
2472,Land Steward,3,0
2472,Trail Guide,3,0
2472,Trainee,3,0
2473,Land Steward,3,0
2473,Staff,3,1
2473,Trail Guide,3,0
2473,Trainee,3,0
2474,Land Steward,3,0
2474,Staff,3,0
2474,Trail Guide,3,0
2474,Trainee,3,0
2475,Land Steward,3,1
2475,Trail Guide,3,0
2475,Trainee,3,0
2476,Land Steward,3,0
2476,Trail Guide,3,0
2476,Trainee,3,1
2477,Land Steward,3,0
2477,Trail Guide,3,1
2477,Trainee,3,0
2478,Land Steward,3,2
2478,Trail Guide,3,0
2478,Trainee,3,0
2479,Land Steward,3,1
2479,Trail Guide,3,0
2479,Trainee,3,0
2480,Land Steward,3,0
2480,Trail Guide,3,1
2480,Trainee,3,0
2481,Land Steward,3,0
2481,Trail Guide,3,0
2481,Trainee,3,1
2482,Land Steward,3,0
2482,Trail Guide,3,0
2482,Trainee,3,0
2483,Land Steward,3,1
2483,Trail Guide,3,0
2483,Trainee,3,0
2484,Land Steward,3,1
2484,Trail Guide,3,0
2484,Trainee,3,0
2485,Land Steward,3,1
2485,Trail Guide,3,1
2485,Trainee,3,0
2486,Land Steward,3,0
2486,Trail Guide,3,0
2486,Trainee,3,0
2487,Land Steward,3,0
2487,Trail Guide,3,0
2487,Trainee,3,0
2488,Land Steward,3,0
2488,Trail Guide,3,0
2488,Trainee,3,0
2489,Land Steward,3,0
2489,Trail Guide,3,0
2489,Trainee,3,0
2490,Land Steward,3,0
2490,Trail Guide,3,0
2490,Trainee,3,0
2492,Land Steward,3,0
2492,Staff,2,1
2492,Trail Boss,1,1
2492,Trail Guide,10,0
2492,Trainee,20,5
2667,Camera Trap,2,2
2681,Staff,1,0
2681,Trail Guide,3,2
2681,Trainee,2,0
2683,Staff,1,0
2683,Trail Guide,3,1
2683,Trainee,2,0
2684,Staff,1,0
2684,Trail Guide,3,1
2684,Trainee,2,0
2692,Staff,1,0
2692,Trail Guide,3,2
2692,Trainee,2,0
2695,Staff,1,0
2695,Trail Guide,3,1
2695,Trainee,2,0
2696,Staff,1,0
2696,Trail Guide,4,2
2696,Trainee,2,0
2697,Staff,1,0
2697,Trail Guide,3,3
2697,Trainee,2,0
2698,Staff,1,0
2698,Trail Guide,3,2
2698,Trainee,2,0
2699,Staff,1,0
2699,Trail Guide,3,2
2699,Trainee,2,0
2700,Staff,1,0
2700,Trail Guide,3,3
2700,Trainee,2,0
2706,Staff,1,0
2706,Trail Guide,3,1
2706,Trainee,2,1
2709,Staff,1,0
2709,Trail Guide,3,1
2709,Trainee,2,0
2711,Staff,1,0
2711,Trail Guide,6,4
2711,Trainee,2,1
2712,Staff,1,0
2712,Trail Guide,3,3
2712,Trainee,2,1
2714,Staff,1,0
2714,Trail Guide,3,2
2714,Trainee,2,0
2715,Staff,1,0
2715,Trail Guide,3,2
2715,Trainee,2,0
2718,Staff,1,0
2718,Trail Guide,4,4
2718,Trainee,2,0
2719,Staff,1,0
2719,Trail Guide,3,3
2719,Trainee,2,0
2720,Staff,1,0
2720,Trail Guide,3,3
2720,Trainee,2,2
2735,Staff,1,0
2735,Trail Guide,6,4
2735,Trainee,2,0
2743,Trail Guide,1,2
2744,Trail Guide,1,3
2748,Trail Guide,2,2
2753,Staff,1,0
2753,Trail Guide,3,2
2753,Trainee,2,0
2787,Staff,1,0
2787,Trail Guide,3,1
2787,Trainee,2,0
2792,Staff,1,0
2792,Trail Guide,3,2
2792,Trainee,2,0
2793,Staff,1,0
2793,Trail Guide,3,1
2793,Trainee,2,0
2839,Staff,1,0
2839,Trail Guide,3,1
2839,Trainee,2,0
2841,Staff,1,0
2841,Trail Guide,3,3
2841,Trainee,2,0
2843,Staff,1,0
2843,Trail Guide,3,1
2843,Trainee,2,0
2845,Staff,1,0
2845,Trail Guide,3,1
2845,Trainee,2,0
2847,Staff,1,0
2847,Trail Guide,3,1
2847,Trainee,2,0
2929,Staff,3,3
2929,Trail Boss,10,1
2929,Trail Guide,10,4
2929,Trainee,10,0
2932,Staff,1,0
2932,Trail Guide,3,1
2932,Trainee,2,0
2937,Land Steward,4,1
2937,Trail Guide,3,1
2950,Staff,1,0
2950,Trail Guide,5,5
2950,Trainee,2,0
2952,Staff,1,0
2952,Trail Guide,3,3
2952,Trainee,2,1
2957,Driver - Diesel,1,1
2957,Driver - Regular,1,1
2957,Trail Guide,1,1
2959,Driver - Diesel,2,2
2959,Trail Guide,1,1
2961,Driver - Diesel,2,2
2961,Trail Guide,1,1
2963,Driver - Diesel,1,1
2963,Driver - Regular,1,1
2963,Trail Guide,2,2
2965,Staff,1,0
2965,Trail Guide,3,3
2965,Trainee,2,0
2966,Staff,1,0
2966,Trail Guide,4,4
2966,Trainee,2,0
2975,Staff,1,0
2975,Trail Guide,5,3
2975,Trainee,2,0
2976,Staff,1,0
2976,Trail Guide,4,4
2976,Trainee,2,0
2977,Staff,1,0
2977,Trail Guide,3,3
2977,Trainee,2,0
2978,Staff,1,0
2978,Trail Guide,5,1
2978,Trainee,2,0
2979,Staff,1,1
2979,Trail Guide,4,4
2982,Staff,1,0
2982,Trail Guide,3,2
2982,Trainee,2,0
2983,Staff,1,0
2983,Trail Guide,3,1
2983,Trainee,2,0
2987,Staff,1,0
2987,Trail Guide,3,2
2987,Trainee,2,0
2990,Staff,1,0
2990,Trail Guide,3,3
2990,Trainee,2,0
3004,Staff,1,0
3004,Trail Guide,3,0
3004,Trainee,2,0
3005,Staff,1,0
3005,Trail Guide,5,3
3005,Trainee,2,0
3007,Staff,1,0
3007,Trail Guide,3,1
3007,Trainee,2,0
3009,Staff,1,0
3009,Trail Guide,3,2
3009,Trainee,2,0
3019,Staff,1,0
3019,Trail Guide,6,6
3019,Trainee,2,1
3020,Staff,1,0
3020,Trail Guide,5,5
3020,Trainee,2,0
3022,Driver - Regular,2,2
3027,Staff,1,0
3027,Trail Guide,3,3
3027,Trainee,2,0
3031,Staff,1,0
3031,Trail Guide,6,2
3031,Trainee,2,0
3032,Staff,1,0
3032,Trail Guide,6,4
3032,Trainee,2,0
3033,Staff,1,0
3033,Trail Guide,6,4
3033,Trainee,2,0
3034,Staff,1,0
3034,Trail Guide,6,3
3034,Trainee,2,0
3035,Staff,1,0
3035,Trail Guide,6,3
3035,Trainee,2,1
3036,Staff,1,0
3036,Trail Guide,6,3
3036,Trainee,2,0
3037,Staff,1,0
3037,Trail Guide,6,3
3037,Trainee,2,0
3038,Staff,1,0
3038,Trail Guide,6,5
3038,Trainee,2,1
3039,Staff,1,0
3039,Trail Guide,6,2
3039,Trainee,2,1
3040,Staff,1,0
3040,Trail Guide,6,2
3040,Trainee,2,0
3045,Staff,1,0
3045,Trail Guide,3,3
3045,Trainee,2,1
3046,Staff,1,0
3046,Trail Guide,3,2
3046,Trainee,2,1
3047,Staff,1,0
3047,Trail Guide,3,3
3047,Trainee,2,1
3049,Staff,1,0
3049,Trail Guide,3,3
3049,Trainee,2,0
3052,Staff,1,0
3052,Trail Guide,3,2
3052,Trainee,2,0
3053,Staff,1,0
3053,Trail Guide,3,1
3053,Trainee,2,0
3054,Staff,1,0
3054,Trail Guide,3,3
3054,Trainee,2,0
3055,Staff,1,0
3055,Trail Guide,3,2
3055,Trainee,2,0
3058,Staff,1,0
3058,Trail Guide,3,1
3058,Trainee,2,0
3069,Staff,1,0
3069,Trail Guide,3,2
3069,Trainee,2,0
3070,Staff,1,0
3070,Trail Guide,3,3
3070,Trainee,2,1
3071,Staff,1,0
3071,Trail Guide,3,3
3071,Trainee,2,0
3074,Staff,1,0
3074,Trail Guide,3,2
3074,Trainee,2,0
3075,Staff,1,0
3075,Trail Guide,4,2
3075,Trainee,2,0
3081,Staff,1,0
3081,Trail Guide,3,1
3081,Trainee,2,0
3084,Staff,1,0
3084,Trail Guide,3,1
3084,Trainee,2,0
3085,Staff,1,0
3085,Trail Guide,3,1
3085,Trainee,2,0
3088,Staff,1,0
3088,Trail Guide,3,1
3088,Trainee,2,0
3092,Staff,1,0
3092,Trail Guide,3,3
3092,Trainee,2,0
3094,Staff,1,0
3094,Trail Guide,3,2
3094,Trainee,2,0
3095,Staff,1,0
3095,Trail Guide,3,3
3095,Trainee,2,0
3096,Staff,1,0
3096,Trail Guide,3,2
3096,Trainee,2,0
3098,Staff,1,0
3098,Trail Guide,3,2
3098,Trainee,2,0
3099,Staff,1,0
3099,Trail Guide,3,2
3099,Trainee,2,0
3100,Staff,1,0
3100,Trail Guide,3,2
3100,Trainee,2,0
3102,Staff,1,0
3102,Trail Guide,3,3
3102,Trainee,2,0
3103,Staff,1,0
3103,Trail Guide,4,3
3103,Trainee,2,0
3104,Staff,1,0
3104,Trail Guide,3,2
3104,Trainee,2,0
3106,Staff,1,0
3106,Trail Guide,3,1
3106,Trainee,2,0
3107,Staff,1,0
3107,Trail Guide,3,2
3107,Trainee,2,0
3108,Staff,1,0
3108,Trail Guide,3,2
3108,Trainee,2,0
3110,Staff,1,0
3110,Trail Guide,3,1
3110,Trainee,2,0
3111,Staff,1,0
3111,Trail Guide,3,1
3111,Trainee,2,1
3112,Staff,1,0
3112,Trail Guide,3,1
3112,Trainee,2,0
3113,Driver - Diesel,1,1
3113,Driver - Regular,1,1
3113,Trail Guide,1,1
3115,Driver - Diesel,1,1
3115,Driver - Regular,1,1
3115,Trail Guide,1,1
3117,Driver - Diesel,1,1
3117,Driver - Regular,1,0
3117,Trail Guide,2,2
3123,Staff,1,1
3123,Trail Guide,3,2
3123,Trainee,2,0
3124,Staff,1,0
3124,Trail Guide,4,3
3124,Trainee,4,0
3127,Staff,1,0
3127,Trail Guide,4,1
3127,Trainee,4,0
3128,Staff,1,0
3128,Trail Guide,3,2
3128,Trainee,2,1
3129,Staff,1,0
3129,Trail Guide,3,2
3129,Trainee,2,0
3130,Staff,1,0
3130,Trail Guide,3,1
3130,Trainee,2,0
3135,Staff,1,0
3135,Trail Guide,8,4
3135,Trainee,2,0
3137,Staff,1,0
3137,Trail Guide,4,4
3137,Trainee,2,2
3138,Staff,1,0
3138,Trail Guide,3,1
3138,Trainee,2,0
3139,Staff,1,0
3139,Trail Guide,3,2
3139,Trainee,2,0
3140,Staff,1,0
3140,Trail Guide,4,4
3140,Trainee,2,0
3141,Staff,1,0
3141,Trail Guide,3,2
3141,Trainee,2,0
3143,Staff,1,0
3143,Trail Guide,3,2
3143,Trainee,2,0
3144,Staff,1,0
3144,Trail Guide,3,3
3144,Trainee,2,0
3146,Staff,1,1
3146,Trail Guide,3,0
3146,Trainee,2,0
3148,Staff,1,0
3148,Trail Guide,3,1
3148,Trainee,2,0
3149,Staff,1,1
3149,Trail Guide,3,0
3149,Trainee,2,0
3150,Staff,1,1
3150,Trail Guide,3,0
3150,Trainee,2,0
3151,Staff,1,1
3151,Trail Guide,3,0
3151,Trainee,2,0
3152,Staff,1,1
3152,Trail Guide,3,0
3152,Trainee,2,0
3153,Staff,1,1
3153,Trail Guide,3,0
3153,Trainee,2,0
3154,Staff,1,0
3154,Trail Guide,3,1
3154,Trainee,2,0
3155,Staff,1,0
3155,Trail Guide,3,1
3155,Trainee,2,0
3156,Staff,1,1
3156,Trail Guide,3,0
3156,Trainee,2,0
3157,Staff,1,0
3157,Trail Guide,3,1
3157,Trainee,2,0
3158,Staff,1,1
3158,Trail Guide,3,0
3158,Trainee,2,0
3160,Staff,1,0
3160,Trail Guide,4,3
3160,Trainee,2,0
3161,Staff,1,0
3161,Trail Guide,3,1
3161,Trainee,2,0
3162,Staff,1,1
3162,Trail Guide,3,0
3162,Trainee,2,0
3163,Staff,1,0
3163,Trail Guide,3,1
3163,Trainee,2,0
3164,Staff,1,1
3164,Trail Guide,3,1
3164,Trainee,2,0
3166,Staff,1,0
3166,Trail Guide,3,3
3166,Trainee,2,0
3169,Staff,1,1
3169,Trail Guide,3,1
3169,Trainee,2,0
3170,Staff,1,1
3170,Trail Guide,3,0
3170,Trainee,2,0
3171,Staff,2,2
3171,Trail Boss,8,8
3171,Trail Guide,2,2
3171,Trainee,3,3
3172,Staff,1,0
3172,Trail Guide,1,0
3172,Trainee,2,0
3173,Staff,1,0
3173,Trail Guide,3,0
3173,Trainee,2,0
3175,Staff,1,0
3175,Trail Guide,3,1
3175,Trainee,2,0
3180,Staff,1,0
3180,Trail Guide,4,2
3180,Trainee,2,1
3182,Staff,1,0
3182,Trail Guide,3,3
3182,Trainee,2,0
3184,Staff,1,0
3184,Trail Guide,3,2
3184,Trainee,2,1
3185,Staff,1,0
3185,Trail Guide,3,3
3185,Trainee,2,0
3187,Staff,1,0
3187,Trail Guide,3,1
3187,Trainee,2,1
3191,Staff,1,0
3191,Trail Guide,3,3
3191,Trainee,2,0
3192,Staff,1,0
3192,Trail Guide,3,2
3192,Trainee,2,2
3193,Staff,1,0
3193,Trail Guide,3,3
3193,Trainee,2,0
3196,Staff,1,0
3196,Trail Guide,3,1
3196,Trainee,2,0
3200,Staff,1,0
3200,Trail Guide,4,5
3200,Trainee,2,0
3201,Staff,1,0
3201,Trail Guide,3,3
3201,Trainee,2,0
3202,Staff,1,0
3202,Trail Guide,3,3
3202,Trainee,2,1
3208,Staff,1,0
3208,Trail Guide,5,3
3208,Trainee,2,0
3209,Staff,1,0
3209,Trail Guide,3,2
3209,Trainee,2,0
3211,Staff,1,0
3211,Trail Guide,3,3
3211,Trainee,2,0
3218,Staff,1,0
3218,Trail Guide,5,2
3218,Trainee,2,0
3222,Staff,1,0
3222,Trail Guide,3,2
3222,Trainee,2,0
3228,Staff,1,0
3228,Trail Guide,3,1
3228,Trainee,2,0
3230,Staff,1,0
3230,Trail Guide,3,2
3230,Trainee,2,0
3235,Staff,1,0
3235,Trail Guide,3,1
3235,Trainee,2,0
3238,Staff,1,0
3238,Trail Guide,3,3
3238,Trainee,2,1
3241,Staff,1,0
3241,Trail Guide,3,1
3241,Trainee,2,0
3242,Staff,1,0
3242,Trail Guide,3,1
3242,Trainee,2,0
3243,Staff,1,0
3243,Trail Guide,3,1
3243,Trainee,2,0
3245,Staff,1,1
3245,Trail Guide,3,0
3245,Trainee,2,0
3246,Staff,1,1
3246,Trail Guide,3,1
3246,Trainee,2,0
3247,Staff,1,1
3247,Trail Guide,3,2
3247,Trainee,2,0
3248,Staff,1,0
3248,Trail Guide,3,2
3248,Trainee,2,0
3249,Staff,1,0
3249,Trail Guide,3,3
3249,Trainee,2,0
3250,Staff,1,0
3250,Trail Guide,3,1
3250,Trainee,2,0
3251,Staff,1,0
3251,Trail Guide,3,1
3251,Trainee,2,0
3252,Staff,1,0
3252,Trail Guide,3,2
3252,Trainee,2,0
3255,Staff,3,0
3255,Trail Guide,1,1
3255,Trainee,3,0
3262,Staff,1,1
3262,Trail Guide,3,2
3262,Trainee,2,1
3263,Staff,1,1
3263,Trail Guide,3,1
3263,Trainee,2,0
3265,Trail Guide,3,1
3266,Trail Guide,3,2
